Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Ram_GB,Memory,Gpu,OpSys,Weight_kg,CPU_GHz,ScreenWidth_px,ScreenHeight_px,Touchscreen,IPS,CPU_Brand,GPU_Brand,Price
HP,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.26,2.7,1920,1080,0,0,Intel,Intel,71128.8
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,32.0,1TB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06,2.8,3840,2160,1,0,Intel,Nvidia,140605.92
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,2.8,1920,1080,0,0,Intel,Nvidia,63882.72
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,2.5,1920,1080,0,1,Intel,Intel,50243.04
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10,2.0,2.7,1920,1080,0,0,Intel,Intel,71075.52
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,1TB HDD,Intel HD Graphics 520,Windows 10,1.85,2.0,1920,1080,0,0,Intel,Intel,23922.72
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5,2.8,1920,1080,0,0,Intel,Nvidia,53226.72
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.48,2.6,1920,1080,0,0,Intel,Intel,67559.04
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.84,2.5,1920,1080,0,0,Intel,Intel,60952.32
Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,4.0,1TB HDD,Intel HD Graphics 500,Linux,2.0,1.1,1366,768,0,0,Intel,Intel,14651.4672
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.0,1.6,1920,1080,0,0,Intel,Nvidia,60885.72
Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,4.0,500GB HDD,Intel HD Graphics,Linux,2.2,1.6,1366,768,0,0,Intel,Intel,14646.672
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,12.0,2TB HDD,AMD Radeon 530,Windows 10,2.2,3.6,1920,1080,0,0,AMD,AMD,47898.72
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,8.0,1TB HDD,Nvidia GeForce 930MX ,Windows 10,2.1,2.4,1920,1080,0,1,Intel,Nvidia,38148.48
Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,16.0,512GB SSD,Intel UHD Graphics 620,Windows 10,1.4,1.8,3840,2160,1,1,Intel,Intel,111834.72
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2,1.8,1920,1080,0,0,Intel,Intel,84129.12
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,2.8,1920,1080,0,1,Intel,Nvidia,60153.12
HP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,2.0,32GB Flash Storage,Intel HD Graphics 400,Windows 10,1.44,1.6,1366,768,0,0,Intel,Intel,14865.12
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16GB,16.0,512GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,1.9,1920,1080,0,0,Intel,Intel,85672.1088
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,4.0,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5,1.1,1366,768,1,0,Intel,Intel,19980.0
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,1TB HDD,AMD Radeon 530,Windows 10,2.04,1.6,1920,1080,0,0,Intel,AMD,35324.64
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.84,2.7,1920,1080,0,0,Intel,Intel,69477.12
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.7,2.8,1920,1080,0,0,Intel,Nvidia,75071.52
HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,256GB SSD,Nvidia Quadro M1200,Windows 10,2.6,2.8,1920,1080,0,0,Intel,Nvidia,92615.0256
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,16.0,512GB SSD,Nvidia GeForce 930M,Windows 10,2.4,2.5,1920,1080,0,1,Intel,Nvidia,74751.84
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02,1.8,1920,1080,0,0,Intel,AMD,51729.552
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,4.0,1TB HDD,Intel HD Graphics 500,No OS,2.2,1.1,1366,768,0,0,Intel,Intel,17155.6272
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,8.0,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.65,2.5,1920,1080,0,0,Intel,Nvidia,53226.72
Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,8.0,2TB HDD,Intel HD Graphics 620,Windows 10,2.36,2.5,1366,768,1,0,Intel,Intel,29696.6736
Dell,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.36,2.6,1920,1080,0,0,Intel,Intel,76030.56
HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,4.0,500GB HDD,Intel HD Graphics 520,Windows 10,1.86,2.0,1366,768,0,0,Intel,Intel,23389.92
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,2.5,1920,1080,0,0,Intel,Intel,50349.6
Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6GB,6.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 940MX,Windows 10,2.8,2.5,1600,900,0,0,Intel,Nvidia,38308.32
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,2.5,1920,1080,0,0,Intel,Intel,34045.92
Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,8.0,256GB SSD,Nvidia GeForce 920MX ,No OS,2.2,2.0,1366,768,0,0,Intel,Nvidia,26586.72
HP,Notebook,15.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,8GB,8.0,2TB HDD,Intel HD Graphics 405,Windows 10,2.04,1.6,1366,768,0,0,Intel,Intel,20725.92
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8,1.6,1920,1080,0,0,Intel,AMD,57808.8
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,No OS,2.4,2.5,1920,1080,0,1,Intel,Nvidia,43103.52
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,AMD Radeon R7 M445,Windows 10,2.33,2.7,1920,1080,0,0,Intel,AMD,47898.72
HP,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.36,2.7,1920,1080,0,1,Intel,Intel,93240.0
Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,12.0,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX,Windows 10,2.26,2.7,1920,1080,1,0,Intel,Nvidia,58554.72
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,4.0,128GB SSD,AMD Radeon R5,Windows 10,2.1,3.0,1366,768,0,0,AMD,AMD,22697.28
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,16.0,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.25,3.0,1920,1080,0,1,AMD,AMD,117162.72
Lenovo,Notebook,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4GB,4.0,128GB SSD,AMD Radeon R5,Windows 10,2.6,2.2,1600,900,0,0,AMD,AMD,26053.92
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62,1.8,1920,1080,1,0,Intel,Intel,46300.8528
HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,4.0,256GB SSD,AMD Radeon R5,Windows 10,1.91,3.0,1920,1080,0,0,AMD,AMD,26053.3872
Lenovo,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,4GB,4.0,128GB SSD,Intel HD Graphics 500,Windows 10,1.59,1.1,1366,768,0,1,Intel,Intel,29463.84
Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.60GHz,4GB,4.0,500GB HDD,Intel HD Graphics 400,Windows 10,1.8,1.6,1366,768,0,0,Intel,Intel,16463.52
Asus,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,4.0,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5,1.1,1366,768,0,0,Intel,Intel,15238.08
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4,2.8,1920,1080,0,0,Intel,Nvidia,45074.88
HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.35,2.8,1920,1080,0,1,Intel,Nvidia,63456.48
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,128GB SSD,Intel HD Graphics 520,No OS,1.85,2.0,1920,1080,0,0,Intel,Intel,21498.48
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.3,2.8,1920,1080,0,1,Intel,Nvidia,88178.4
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.5,2.5,1920,1080,0,1,Intel,Nvidia,58554.72
Asus,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,16.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.1,2.7,1920,1080,1,0,Intel,Intel,93181.392
Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8GB,8.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.13,2.7,2560,1440,0,1,Intel,Intel,121584.96
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,4.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.5,2.4,1920,1080,0,1,Intel,Intel,29250.72
Dell,Workstation,15.6,Full HD 1920x1080,Intel Core i5 6440HQ 2.6GHz,8GB,8.0,500GB HDD,AMD FirePro W5130M,Windows 10,2.23,2.6,1920,1080,0,0,Intel,AMD,72940.32
Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,8GB,8.0,256GB SSD,Nvidia Quadro M1200,Windows 10,2.0,2.7,1920,1080,0,1,Intel,Nvidia,113752.8
Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,16.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.42,2.7,2560,1440,1,0,Intel,Intel,133679.52
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.0,2.8,1920,1080,0,0,Intel,Nvidia,55357.92
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,3.0,2.8,1920,1080,0,0,Intel,Nvidia,84768.48
Acer,Notebook,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,12GB,12.0,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2,1.6,1366,768,0,1,Intel,Nvidia,36975.7872
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,2.8,1920,1080,0,0,Intel,Nvidia,71874.72
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,AMD Radeon R7 M445,Linux,2.33,2.7,1920,1080,0,0,Intel,AMD,41498.1936
HP,Ultrabook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,4.0,256GB SSD,AMD Radeon 520,Windows 10,1.91,3.0,1920,1080,0,0,AMD,AMD,26586.72
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,AMD Radeon RX 550,Windows 10,2.1,1.8,1920,1080,0,1,Intel,AMD,65510.9568
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.9,2.5,1920,1080,0,1,Intel,Intel,49976.64
Dell,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,256GB SSD,Nvidia Quadro M1200,Windows 10,1.78,2.8,3840,2160,1,0,Intel,Nvidia,144495.36
Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,16.0,1TB SSD,Intel HD Graphics 620,Windows 10,1.13,2.7,2560,1440,0,1,Intel,Intel,139860.0
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,4.0,1TB HDD,Intel HD Graphics 500,Windows 10,2.2,1.1,1366,768,0,0,Intel,Intel,16303.68
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.9,2.8,1920,1080,0,0,Intel,Nvidia,81465.12
Lenovo,Notebook,25.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD +  1TB HDD,AMD Radeon RX 550,Windows 10,2.1,1.6,1920,1080,0,1,Intel,AMD,60978.96
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,256GB SSD,Nvidia GeForce GTX 1050,Linux,2.5,2.8,1920,1080,0,0,Intel,Nvidia,46833.12
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8,2.8,1920,1080,0,0,Intel,Nvidia,119826.72
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.1,2.7,1920,1080,0,0,Intel,Intel,99793.44
Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,16.0,512GB SSD,Intel HD Graphics 520,Windows 10,1.2,2.5,1920,1080,0,0,Intel,Intel,93080.16
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,8.0,512GB SSD,Intel HD Graphics,Windows 10,1.36,2.8,1920,1080,0,0,Intel,Intel,89510.4
Lenovo,Notebook,35.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,500GB HDD,Intel HD Graphics 520,Windows 10,2.2,2.0,1920,1080,0,0,Intel,Intel,21791.52
Lenovo,Notebook,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,2.0,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.15,1.1,1366,768,0,0,Intel,Intel,16221.096
Lenovo,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,512GB SSD,Nvidia Quadro M1200,Windows 10,2.67,2.8,1920,1080,0,0,Intel,Nvidia,102564.0
Lenovo,Ultrabook,14.0,IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,512GB SSD,Nvidia GeForce GT 940MX,Windows 10,1.7,2.8,2560,1440,0,1,Intel,Nvidia,103523.04
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,1TB HDD,AMD Radeon 520,Windows 10,2.1,2.0,1920,1080,0,0,Intel,AMD,24988.32
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,1.6,2.5,1920,1080,1,1,Intel,Intel,42038.4528
Asus,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.27,2.5,1920,1080,1,1,Intel,Intel,49443.84
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,4.0,256GB SSD,AMD Radeon R5 M430,Linux,2.3,2.5,1920,1080,0,0,Intel,AMD,31909.392
Dell,Notebook,13.3,1366x768,Intel Core i3 6006U 2GHz,4GB,4.0,128GB SSD,Intel HD Graphics 520,Windows 10,1.65,2.0,1366,768,0,0,Intel,Intel,36709.92
HP,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,1.43,2.5,1920,1080,0,0,Intel,Intel,79920.0
Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.14,2.5,1366,768,0,0,Intel,Intel,28768.536
Lenovo,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,AMD Radeon RX 550,Windows 10,1.75,1.8,1920,1080,0,1,Intel,AMD,64755.4464
Lenovo,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.0,2.8,3840,2160,1,1,Intel,Nvidia,101178.72
Chuwi,Notebook,12.3,IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,6GB,6.0,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.4,1.1,2736,1824,0,1,Intel,Intel,23922.72
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,8.0,256GB SSD,Intel HD Graphics 630,Windows 10,2.31,2.9,1920,1080,0,0,Intel,Intel,76030.56
Asus,Notebook,35.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,8.0,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,2.4,1920,1080,0,0,Intel,Nvidia,31808.16
Dell,Gaming,27.3,IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,16GB,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42,2.9,2560,1440,0,1,Intel,Nvidia,149130.72
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,2.8,1920,1080,0,1,Intel,Nvidia,61751.52
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02,1.8,1920,1080,0,0,Intel,AMD,60867.072
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Linux,1.6,2.8,1920,1080,0,0,Intel,Intel,58554.72
HP,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,12.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,3.35,2.8,1920,1080,0,0,Intel,Nvidia,106506.72
Mediacom,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,4.0,32GB SSD,Intel HD Graphics 500,Windows 10,1.16,1.1,1920,1080,1,1,Intel,Intel,15930.72
Samsung,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,4.0,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.15,1.6,1366,768,0,0,Intel,Intel,14332.32
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.4,2.7,1920,1080,0,1,Intel,Intel,53812.8
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,4.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.7,2.7,1920,1080,0,1,Intel,Intel,31914.72
Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16GB,16.0,512GB SSD,Nvidia GeForce 940MX,Windows 10,2.3,2.8,3840,2160,0,1,Intel,Nvidia,130269.6
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,16.0,512GB SSD,Nvidia Quadro M2200M,Windows 10,2.5,2.9,1920,1080,0,0,Intel,Nvidia,130482.72
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1600 3.2GHz,8GB,8.0,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2,3.2,1920,1080,0,0,AMD,AMD,90309.6
HP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,4.0,500GB HDD,Intel HD Graphics 400,Windows 10,2.1,1.6,1366,768,0,0,Intel,Intel,18488.16
Google,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i7 7Y75 1.3GHz,16GB,16.0,512GB SSD,Intel HD Graphics 615,Chrome OS,1.1,1.3,2400,1600,1,0,Intel,Intel,117162.72
Lenovo,Ultrabook,24.0,2560x1440,Intel Core i7 7500U 2.7GHz,24GB,24.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.32,2.7,2560,1440,0,0,Intel,Intel,126912.96
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,4.0,256GB SSD,Intel HD Graphics 620,Linux,2.0,2.5,1920,1080,0,0,Intel,Intel,29783.52
Lenovo,Notebook,17.3,1600x900,AMD A6-Series 9220 2.5GHz,8GB,8.0,1TB HDD,AMD Radeon R4,Windows 10,2.8,2.5,1600,900,0,0,AMD,AMD,27652.32
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,4.0,256GB SSD,AMD Radeon 530,Windows 10,2.2,1.6,1920,1080,0,0,Intel,AMD,39906.72
Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.36,2.5,1920,1080,0,1,Intel,Intel,76137.12
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4GB,4.0,128GB SSD,Intel HD Graphics 505,Windows 10,2.2,1.1,1920,1080,0,0,Intel,Intel,18594.72
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,2.8,1920,1080,0,1,Intel,Nvidia,58554.72
Dell,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,8.0,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.64,2.8,1920,1080,0,0,Intel,Nvidia,62817.12
Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,4.0,500GB HDD,Intel HD Graphics 620,Linux,2.4,2.5,1366,768,0,0,Intel,Intel,23539.104
Dell,Workstation,15.6,Full HD 1920x1080,Intel Xeon E3-1505M V6 3GHz,8GB,8.0,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,Windows 10,2.23,3.0,1920,1080,0,0,Intel,Nvidia,106187.04
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,8.0,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.2,2.5,1920,1080,0,0,Intel,Nvidia,54757.9872
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,16GB,16.0,512GB SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.25,2.5,2256,1504,1,0,Intel,Intel,137941.92
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.91,2.5,1366,768,0,0,Intel,Intel,31381.92
Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16GB,16.0,256GB SSD,Nvidia Quadro M620,Windows 10,2.17,2.7,1920,1080,0,1,Intel,Nvidia,105228.0
